order_id,customer_id,amount,currency,status,created_at,updated_at
100000,C0057,114.43,USD,completed,2026-08-28T09:42:30+00:00,2026-08-28T12:02:30+00:00
100001,C0065,88.0,USD,completed,2026-08-28T09:28:30+00:00,2026-08-28T12:11:30+00:00
100002,C0025,97.58,USD,completed,2026-08-28T09:10:30+00:00,2026-08-28T12:09:30+00:00
100003,C0031,31.65,USD,refunded,2026-08-28T10:51:30+00:00,2026-08-28T12:21:30+00:00
100004,C0049,92.47,USD,pending,2026-08-28T10:52:30+00:00,2026-08-28T12:15:30+00:00
100005,C0032,52.33,USD,refunded,2026-08-28T11:54:30+00:00,2026-08-28T12:11:30+00:00
100006,C0007,51.71,USD,cancelled,2026-08-28T09:49:30+00:00,2026-08-28T12:19:30+00:00
100007,C0007,106.3,USD,refunded,2026-08-28T11:27:30+00:00,2026-08-28T12:01:30+00:00
100008,C0012,45.14,USD,pending,2026-08-28T09:46:30+00:00,2026-08-28T12:06:30+00:00
100009,C0018,28.39,USD,completed,2026-08-28T09:29:30+00:00,2026-08-28T12:18:30+00:00
100010,C0063,44.34,USD,cancelled,2026-08-28T09:33:30+00:00,2026-08-28T12:00:30+00:00
100011,C0070,29.72,USD,pending,2026-08-28T09:55:30+00:00,2026-08-28T12:11:30+00:00
100012,C0009,20.87,USD,pending,2026-08-28T09:31:30+00:00,2026-08-28T12:11:30+00:00
100013,C0062,52.98,USD,completed,2026-08-28T10:37:30+00:00,2026-08-28T12:10:30+00:00
100014,C0029,71.45,USD,refunded,2026-08-28T11:17:30+00:00,2026-08-28T12:06:30+00:00
100015,C0031,17.48,USD,completed,2026-08-28T09:39:30+00:00,2026-08-28T12:02:30+00:00
100016,C0040,57.86,USD,cancelled,2026-08-28T11:42:30+00:00,2026-08-28T12:10:30+00:00
100017,C0022,66.05,USD,pending,2026-08-28T09:27:30+00:00,2026-08-28T12:12:30+00:00
100018,C0054,63.13,USD,completed,2026-08-28T10:57:30+00:00,2026-08-28T12:06:30+00:00
100019,C0015,28.54,USD,refunded,2026-08-28T11:34:30+00:00,2026-08-28T12:21:30+00:00
100020,C0006,48.37,USD,completed,2026-08-28T09:50:30+00:00,2026-08-28T12:07:30+00:00
100021,C0034,51.81,USD,completed,2026-08-28T11:05:30+00:00,2026-08-28T12:07:30+00:00
100022,C0032,72.83,USD,completed,2026-08-28T11:38:30+00:00,2026-08-28T12:18:30+00:00
100023,C0056,28.27,USD,refunded,2026-08-28T09:38:30+00:00,2026-08-28T12:04:30+00:00
100024,C0069,70.87,USD,completed,2026-08-28T11:02:30+00:00,2026-08-28T12:13:30+00:00
100025,C0008,99.04,USD,pending,2026-08-28T09:30:30+00:00,2026-08-28T12:16:30+00:00
100026,C0032,16.31,USD,refunded,2026-08-28T11:56:30+00:00,2026-08-28T12:18:30+00:00
100027,C0020,64.92,USD,completed,2026-08-28T09:15:30+00:00,2026-08-28T12:11:30+00:00
100028,C0004,24.79,USD,refunded,2026-08-28T11:22:30+00:00,2026-08-28T12:21:30+00:00
100029,C0044,52.26,USD,cancelled,2026-08-28T10:06:30+00:00,2026-08-28T12:13:30+00:00
100030,C0011,39.48,USD,refunded,2026-08-28T10:32:30+00:00,2026-08-28T12:21:30+00:00
100031,C0037,115.64,USD,cancelled,2026-08-28T10:45:30+00:00,2026-08-28T12:21:30+00:00
100032,C0023,59.23,USD,refunded,2026-08-28T11:46:30+00:00,2026-08-28T12:18:30+00:00
100033,C0003,88.89,USD,refunded,2026-08-28T11:31:30+00:00,2026-08-28T12:17:30+00:00
100034,C0006,32.27,USD,completed,2026-08-28T10:07:30+00:00,2026-08-28T12:12:30+00:00
100035,C0064,73.94,USD,cancelled,2026-08-28T11:31:30+00:00,2026-08-28T12:03:30+00:00
100036,C0060,125.5,USD,completed,2026-08-28T10:52:30+00:00,2026-08-28T12:17:30+00:00
100037,C0043,38.9,USD,completed,2026-08-28T11:21:30+00:00,2026-08-28T12:13:30+00:00
100038,C0065,82.78,USD,pending,2026-08-28T10:29:30+00:00,2026-08-28T12:15:30+00:00
100039,C0009,74.8,USD,pending,2026-08-28T11:29:30+00:00,2026-08-28T12:04:30+00:00
100040,C0051,55.39,USD,cancelled,2026-08-28T10:09:30+00:00,2026-08-28T12:01:30+00:00
100041,C0050,28.84,USD,completed,2026-08-28T09:29:30+00:00,2026-08-28T12:00:30+00:00
100042,C0021,67.07,USD,completed,2026-08-28T10:16:30+00:00,2026-08-28T12:08:30+00:00
100043,C0056,49.47,USD,completed,2026-08-28T11:42:30+00:00,2026-08-28T12:18:30+00:00
100044,C0063,79.93,USD,refunded,2026-08-28T11:04:30+00:00,2026-08-28T12:17:30+00:00
100045,C0023,88.09,USD,completed,2026-08-28T10:44:30+00:00,2026-08-28T12:09:30+00:00
100046,C0013,133.49,USD,completed,2026-08-28T11:47:30+00:00,2026-08-28T12:11:30+00:00
100047,C0054,36.23,USD,completed,2026-08-28T11:23:30+00:00,2026-08-28T12:06:30+00:00
100048,C0002,92.37,USD,completed,2026-08-28T09:42:30+00:00,2026-08-28T12:05:30+00:00
100049,C0024,84.39,USD,completed,2026-08-28T09:15:30+00:00,2026-08-28T12:01:30+00:00
100050,C0003,59.83,USD,completed,2026-08-28T10:00:30+00:00,2026-08-28T12:05:30+00:00
100051,C0016,80.36,USD,pending,2026-08-28T09:56:30+00:00,2026-08-28T12:00:30+00:00
100052,C0053,61.71,USD,refunded,2026-08-28T09:06:30+00:00,2026-08-28T12:04:30+00:00
100053,C0050,83.03,USD,completed,2026-08-28T09:44:30+00:00,2026-08-28T12:09:30+00:00
100054,C0032,71.21,USD,completed,2026-08-28T09:48:30+00:00,2026-08-28T12:11:30+00:00
