order_id,customer_id,amount,currency,status,created_at,updated_at
100000,C0057,114.43,USD,completed,2026-08-29T00:59:23+0000,2026-08-29T03:19:23+0000
100001,C0065,88.0,USD,completed,2026-08-29T00:45:23+0000,2026-08-29T03:28:23+0000
100002,C0025,97.58,USD,completed,2026-08-29T00:27:23+0000,2026-08-29T03:26:23+0000
100003,C0031,31.65,USD,refunded,2026-08-29T02:08:23+0000,2026-08-29T03:38:23+0000
100004,C0049,92.47,USD,pending,2026-08-29T02:09:23+0000,2026-08-29T03:32:23+0000
100005,C0032,52.33,USD,refunded,2026-08-29T03:11:23+0000,2026-08-29T03:28:23+0000
100006,C0007,51.71,USD,cancelled,2026-08-29T01:06:23+0000,2026-08-29T03:36:23+0000
100007,C0007,106.3,USD,refunded,2026-08-29T02:44:23+0000,2026-08-29T03:18:23+0000
100008,C0012,45.14,USD,pending,2026-08-29T01:03:23+0000,2026-08-29T03:23:23+0000
100009,C0018,28.39,USD,completed,2026-08-29T00:46:23+0000,2026-08-29T03:35:23+0000
100010,C0063,44.34,USD,cancelled,2026-08-29T00:50:23+0000,2026-08-29T03:17:23+0000
100011,C0070,29.72,USD,pending,2026-08-29T01:12:23+0000,2026-08-29T03:28:23+0000
100012,C0009,20.87,USD,pending,2026-08-29T00:48:23+0000,2026-08-29T03:28:23+0000
100013,C0062,52.98,USD,completed,2026-08-29T01:54:23+0000,2026-08-29T03:27:23+0000
100014,C0029,71.45,USD,refunded,2026-08-29T02:34:23+0000,2026-08-29T03:23:23+0000
100015,C0031,17.48,USD,completed,2026-08-29T00:56:23+0000,2026-08-29T03:19:23+0000
100016,C0040,57.86,USD,cancelled,2026-08-29T02:59:23+0000,2026-08-29T03:27:23+0000
100017,C0022,66.05,USD,pending,2026-08-29T00:44:23+0000,2026-08-29T03:29:23+0000
100018,C0054,63.13,USD,completed,2026-08-29T02:14:23+0000,2026-08-29T03:23:23+0000
100019,C0015,28.54,USD,refunded,2026-08-29T02:51:23+0000,2026-08-29T03:38:23+0000
100020,C0006,48.37,USD,completed,2026-08-29T01:07:23+0000,2026-08-29T03:24:23+0000
100021,C0034,51.81,USD,completed,2026-08-29T02:22:23+0000,2026-08-29T03:24:23+0000
100022,C0032,72.83,USD,completed,2026-08-29T02:55:23+0000,2026-08-29T03:35:23+0000
100023,C0056,28.27,USD,refunded,2026-08-29T00:55:23+0000,2026-08-29T03:21:23+0000
100024,C0069,70.87,USD,completed,2026-08-29T02:19:23+0000,2026-08-29T03:30:23+0000
100025,C0008,99.04,USD,pending,2026-08-29T00:47:23+0000,2026-08-29T03:33:23+0000
100026,C0032,16.31,USD,refunded,2026-08-29T03:13:23+0000,2026-08-29T03:35:23+0000
100027,C0020,64.92,USD,completed,2026-08-29T00:32:23+0000,2026-08-29T03:28:23+0000
100028,C0004,24.79,USD,refunded,2026-08-29T02:39:23+0000,2026-08-29T03:38:23+0000
100029,C0044,52.26,USD,cancelled,2026-08-29T01:23:23+0000,2026-08-29T03:30:23+0000
100030,C0011,39.48,USD,refunded,2026-08-29T01:49:23+0000,2026-08-29T03:38:23+0000
100031,C0037,115.64,USD,cancelled,2026-08-29T02:02:23+0000,2026-08-29T03:38:23+0000
100032,C0023,59.23,USD,refunded,2026-08-29T03:03:23+0000,2026-08-29T03:35:23+0000
100033,C0003,88.89,USD,refunded,2026-08-29T02:48:23+0000,2026-08-29T03:34:23+0000
100034,C0006,32.27,USD,completed,2026-08-29T01:24:23+0000,2026-08-29T03:29:23+0000
100035,C0064,73.94,USD,cancelled,2026-08-29T02:48:23+0000,2026-08-29T03:20:23+0000
100036,C0060,125.5,USD,completed,2026-08-29T02:09:23+0000,2026-08-29T03:34:23+0000
100037,C0043,38.9,USD,completed,2026-08-29T02:38:23+0000,2026-08-29T03:30:23+0000
100038,C0065,82.78,USD,pending,2026-08-29T01:46:23+0000,2026-08-29T03:32:23+0000
100039,C0009,74.8,USD,pending,2026-08-29T02:46:23+0000,2026-08-29T03:21:23+0000
100040,C0051,55.39,USD,cancelled,2026-08-29T01:26:23+0000,2026-08-29T03:18:23+0000
100041,C0050,28.84,USD,completed,2026-08-29T00:46:23+0000,2026-08-29T03:17:23+0000
100042,C0021,67.07,USD,completed,2026-08-29T01:33:23+0000,2026-08-29T03:25:23+0000
100043,C0056,49.47,USD,completed,2026-08-29T02:59:23+0000,2026-08-29T03:35:23+0000
100044,C0063,79.93,USD,refunded,2026-08-29T02:21:23+0000,2026-08-29T03:34:23+0000
100045,C0023,88.09,USD,completed,2026-08-29T02:01:23+0000,2026-08-29T03:26:23+0000
100046,C0013,133.49,USD,completed,2026-08-29T03:04:23+0000,2026-08-29T03:28:23+0000
100047,C0054,36.23,USD,completed,2026-08-29T02:40:23+0000,2026-08-29T03:23:23+0000
100048,C0002,92.37,USD,completed,2026-08-29T00:59:23+0000,2026-08-29T03:22:23+0000
100049,C0024,84.39,USD,completed,2026-08-29T00:32:23+0000,2026-08-29T03:18:23+0000
100050,C0003,59.83,USD,completed,2026-08-29T01:17:23+0000,2026-08-29T03:22:23+0000
100051,C0016,80.36,USD,pending,2026-08-29T01:13:23+0000,2026-08-29T03:17:23+0000
100052,C0053,61.71,USD,refunded,2026-08-29T00:23:23+0000,2026-08-29T03:21:23+0000
100053,C0050,83.03,USD,completed,2026-08-29T01:01:23+0000,2026-08-29T03:26:23+0000
100054,C0032,71.21,USD,completed,2026-08-29T01:05:23+0000,2026-08-29T03:28:23+0000
100055,C0058,42.12,USD,completed,2026-08-29T03:26:23+0000,2026-08-29T03:30:23+0000
100056,C0065,60.87,USD,pending,2026-08-29T02:42:23+0000,2026-08-29T03:25:23+0000
100057,C0069,82.72,USD,pending,2026-08-29T02:40:23+0000,2026-08-29T03:37:23+0000
100058,C0065,35.93,USD,refunded,2026-08-29T03:09:23+0000,2026-08-29T03:21:23+0000
100059,C0017,46.11,USD,completed,2026-08-29T02:41:23+0000,2026-08-29T03:30:23+0000
100060,C0025,118.28,USD,completed,2026-08-29T01:17:23+0000,2026-08-29T03:22:23+0000
100061,C0057,68.62,USD,pending,2026-08-29T01:02:23+0000,2026-08-29T03:23:23+0000
100062,C0050,40.84,USD,completed,2026-08-29T03:11:23+0000,2026-08-29T03:32:23+0000
100063,C0035,42.16,USD,completed,2026-08-29T01:28:23+0000,2026-08-29T03:32:23+0000
100064,C0067,125.41,USD,pending,2026-08-29T01:29:23+0000,2026-08-29T03:29:23+0000
100065,C0049,74.41,USD,pending,2026-08-29T01:32:23+0000,2026-08-29T03:37:23+0000
100066,C0027,20.32,USD,completed,2026-08-29T00:30:23+0000,2026-08-29T03:20:23+0000
100067,C0068,76.67,USD,refunded,2026-08-29T02:17:23+0000,2026-08-29T03:29:23+0000
100068,C0007,35.45,USD,completed,2026-08-29T00:36:23+0000,2026-08-29T03:34:23+0000
100069,C0059,54.23,USD,pending,2026-08-29T02:01:23+0000,2026-08-29T03:35:23+0000
100070,C0062,24.01,USD,pending,2026-08-29T00:57:23+0000,2026-08-29T03:21:23+0000
100071,C0019,49.42,USD,cancelled,2026-08-29T01:45:23+0000,2026-08-29T03:31:23+0000
100072,C0060,37.88,USD,cancelled,2026-08-29T03:11:23+0000,2026-08-29T03:29:23+0000
100073,C0064,29.72,USD,cancelled,2026-08-29T01:38:23+0000,2026-08-29T03:30:23+0000
100074,C0005,95.31,USD,refunded,2026-08-29T00:17:23+0000,2026-08-29T03:17:23+0000
100075,C0064,224.84,USD,cancelled,2026-08-29T01:15:23+0000,2026-08-29T03:37:23+0000
100076,C0011,78.34,USD,cancelled,2026-08-29T01:33:23+0000,2026-08-29T03:38:23+0000
100077,C0022,64.02,USD,completed,2026-08-29T02:43:23+0000,2026-08-29T03:30:23+0000
100078,C0070,29.22,USD,refunded,2026-08-29T01:12:23+0000,2026-08-29T03:20:23+0000
100079,C0064,49.94,USD,cancelled,2026-08-29T01:25:23+0000,2026-08-29T03:21:23+0000
100080,C0070,39.73,USD,cancelled,2026-08-29T01:37:23+0000,2026-08-29T03:26:23+0000
100081,C0059,20.55,USD,cancelled,2026-08-29T02:52:23+0000,2026-08-29T03:17:23+0000
100082,C0003,77.69,USD,pending,2026-08-29T01:29:23+0000,2026-08-29T03:31:23+0000
100083,C0006,55.57,USD,refunded,2026-08-29T00:58:23+0000,2026-08-29T03:32:23+0000
100084,C0042,38.5,USD,cancelled,2026-08-29T01:09:23+0000,2026-08-29T03:26:23+0000
100085,C0034,25.2,USD,refunded,2026-08-29T01:25:23+0000,2026-08-29T03:36:23+0000
100086,C0063,73.29,USD,completed,2026-08-29T02:05:23+0000,2026-08-29T03:18:23+0000
100087,C0013,120.58,USD,completed,2026-08-29T01:44:23+0000,2026-08-29T03:31:23+0000
100088,C0049,60.48,USD,completed,2026-08-29T02:36:23+0000,2026-08-29T03:32:23+0000
100089,C0007,43.36,USD,completed,2026-08-29T01:32:23+0000,2026-08-29T03:36:23+0000
100090,C0063,80.41,USD,completed,2026-08-29T02:12:23+0000,2026-08-29T03:37:23+0000
100091,C0019,33.52,USD,completed,2026-08-29T01:43:23+0000,2026-08-29T03:37:23+0000
100092,C0005,17.3,USD,completed,2026-08-29T01:34:23+0000,2026-08-29T03:23:23+0000
100093,C0045,147.17,USD,pending,2026-08-29T01:42:23+0000,2026-08-29T03:31:23+0000
100094,C0057,145.19,USD,cancelled,2026-08-29T01:20:23+0000,2026-08-29T03:22:23+0000
100095,C0001,48.61,USD,cancelled,2026-08-29T00:56:23+0000,2026-08-29T03:18:23+0000
100096,C0016,59.6,USD,completed,2026-08-29T01:40:23+0000,2026-08-29T03:22:23+0000
100097,C0073,143.6,USD,pending,2026-08-29T00:33:23+0000,2026-08-29T03:17:23+0000
100098,C0037,31.32,USD,cancelled,2026-08-29T01:38:23+0000,2026-08-29T03:38:23+0000
100099,C0030,61.31,USD,completed,2026-08-29T00:40:23+0000,2026-08-29T03:32:23+0000
100100,C0063,92.42,USD,cancelled,2026-08-29T01:12:23+0000,2026-08-29T03:35:23+0000
100101,C0010,149.31,USD,completed,2026-08-29T02:09:23+0000,2026-08-29T03:35:23+0000
100102,C0059,36.89,USD,completed,2026-08-29T01:26:23+0000,2026-08-29T03:25:23+0000
100103,C0009,36.65,USD,cancelled,2026-08-29T02:58:23+0000,2026-08-29T03:33:23+0000
100104,C0029,63.68,USD,completed,2026-08-29T00:56:23+0000,2026-08-29T03:21:23+0000
100105,C0029,41.72,USD,completed,2026-08-29T01:00:23+0000,2026-08-29T03:34:23+0000
100106,C0068,134.35,USD,completed,2026-08-29T00:41:23+0000,2026-08-29T03:22:23+0000
100107,C0011,37.98,USD,completed,2026-08-29T02:04:23+0000,2026-08-29T03:32:23+0000
100108,C0019,63.63,USD,completed,2026-08-29T02:30:23+0000,2026-08-29T03:36:23+0000
100109,C0024,63.16,USD,refunded,2026-08-29T02:47:23+0000,2026-08-29T03:35:23+0000
100110,C0073,49.42,USD,completed,2026-08-29T02:15:23+0000,2026-08-29T03:32:23+0000
100111,C0021,22.74,USD,cancelled,2026-08-29T03:08:23+0000,2026-08-29T03:28:23+0000
100112,C0070,118.81,USD,completed,2026-08-29T03:30:23+0000,2026-08-29T03:35:23+0000
100113,C0037,63.98,USD,completed,2026-08-29T03:21:23+0000,2026-08-29T03:31:23+0000
100114,C0042,83.64,USD,cancelled,2026-08-29T03:22:23+0000,2026-08-29T03:35:23+0000
100115,C0050,79.5,USD,completed,2026-08-29T01:51:23+0000,2026-08-29T03:29:23+0000
100116,C0054,42.12,USD,pending,2026-08-29T01:49:23+0000,2026-08-29T03:23:23+0000
100117,C0050,45.18,USD,completed,2026-08-29T01:46:23+0000,2026-08-29T03:30:23+0000
100118,C0008,45.07,USD,completed,2026-08-29T00:49:23+0000,2026-08-29T03:26:23+0000
100119,C0031,108.34,USD,refunded,2026-08-29T02:16:23+0000,2026-08-29T03:24:23+0000
100120,C0074,43.02,USD,completed,2026-08-29T02:46:23+0000,2026-08-29T03:34:23+0000
100121,C0024,16.66,USD,cancelled,2026-08-29T00:24:23+0000,2026-08-29T03:23:23+0000
100122,C0043,48.18,USD,completed,2026-08-29T02:04:23+0000,2026-08-29T03:36:23+0000
100123,C0009,34.61,USD,refunded,2026-08-29T02:12:23+0000,2026-08-29T03:24:23+0000
100124,C0066,95.67,USD,refunded,2026-08-29T02:30:23+0000,2026-08-29T03:24:23+0000
100125,C0067,39.97,USD,cancelled,2026-08-29T02:22:23+0000,2026-08-29T03:24:23+0000
100126,C0058,71.33,USD,completed,2026-08-29T02:26:23+0000,2026-08-29T03:29:23+0000
100127,C0066,55.45,USD,refunded,2026-08-29T02:17:23+0000,2026-08-29T03:20:23+0000
100128,C0030,62.93,USD,pending,2026-08-29T02:46:23+0000,2026-08-29T03:22:23+0000
100129,C0017,34.94,USD,refunded,2026-08-29T01:22:23+0000,2026-08-29T03:33:23+0000
100130,C0032,44.26,USD,pending,2026-08-29T01:43:23+0000,2026-08-29T03:35:23+0000
100131,C0063,54.9,USD,refunded,2026-08-29T01:58:23+0000,2026-08-29T03:33:23+0000
100132,C0002,73.12,USD,completed,2026-08-29T03:31:23+0000,2026-08-29T03:34:23+0000
100133,C0010,70.9,USD,completed,2026-08-29T02:02:23+0000,2026-08-29T03:21:23+0000
100134,C0025,29.89,USD,completed,2026-08-29T01:43:23+0000,2026-08-29T03:23:23+0000
100135,C0040,47.79,USD,completed,2026-08-29T02:33:23+0000,2026-08-29T03:22:23+0000
100136,C0051,96.74,USD,completed,2026-08-29T03:01:23+0000,2026-08-29T03:30:23+0000
100137,C0073,83.41,USD,cancelled,2026-08-29T00:40:23+0000,2026-08-29T03:19:23+0000
100138,C0060,42.0,USD,cancelled,2026-08-29T00:53:23+0000,2026-08-29T03:32:23+0000
100139,C0022,43.2,USD,pending,2026-08-29T02:59:23+0000,2026-08-29T03:24:23+0000
100140,C0059,133.69,USD,completed,2026-08-29T00:48:23+0000,2026-08-29T03:31:23+0000
100141,C0022,84.41,USD,pending,2026-08-29T03:09:23+0000,2026-08-29T03:21:23+0000
100142,C0066,22.31,USD,pending,2026-08-29T01:05:23+0000,2026-08-29T03:26:23+0000
100143,C0005,179.92,USD,refunded,2026-08-29T03:36:23+0000,2026-08-29T03:38:23+0000
100144,C0056,83.59,USD,refunded,2026-08-29T02:42:23+0000,2026-08-29T03:21:23+0000
100145,C0030,66.34,USD,refunded,2026-08-29T02:11:23+0000,2026-08-29T03:32:23+0000
100146,C0022,43.61,USD,completed,2026-08-29T02:37:23+0000,2026-08-29T03:31:23+0000
100147,C0029,31.36,USD,refunded,2026-08-29T00:49:23+0000,2026-08-29T03:35:23+0000
100148,C0044,40.06,USD,pending,2026-08-29T03:27:23+0000,2026-08-29T03:36:23+0000
100149,C0062,36.97,USD,pending,2026-08-29T02:50:23+0000,2026-08-29T03:21:23+0000
100150,C0031,30.09,USD,completed,2026-08-29T02:07:23+0000,2026-08-29T03:21:23+0000
100151,C0067,18.59,USD,cancelled,2026-08-29T03:22:23+0000,2026-08-29T03:34:23+0000
100152,C0071,122.68,USD,pending,2026-08-29T01:40:23+0000,2026-08-29T03:25:23+0000
100153,C0071,118.61,USD,completed,2026-08-29T00:51:23+0000,2026-08-29T03:32:23+0000
100154,C0070,78.52,USD,refunded,2026-08-29T02:27:23+0000,2026-08-29T03:20:23+0000
100155,C0064,61.19,USD,cancelled,2026-08-29T00:53:23+0000,2026-08-29T03:34:23+0000
